"","tags","description"
"936","full-time-job","Chiropractic office is looking for an outgoing individual for our full time position. Candidate must be hard working, task oriented and reliable. Candidate must also have great communication skills for our fast paced office environment. Training is provided in office. Our office hours are as listed below.    Hours not listed include training hours or time spent without patients completing tasks.  Monday: 8am - 1pm, 3pm - 6pm  Tuesday: 8a-5p Wednesday: 8am - 1pm, 3pm - 6pm  Friday: 8am - 1pm, 3pm - 6pm     Other qualities that we are looking for the candidate to possess are: Health Conscious  Friendly  Positive  Organized  Flexible Hours  Great Work Ethic  Ability to Multi-task  Creating an environment that promotes health and healing     If you are interested in this position and you fit the qualifications please **Hand Deliver** resume to:   Discover Life Chiropractic, 4820 W. 77th St, Edina, MN 55435  Hand Deliver resume M, W, F between hours of 8am - 11am, 3pm - 6pm"
"939","associate-needed hourly-wage part-time-job","About our Client: They are a small marketing firm that has been around since 2007 and steadily growing.  Seeking a vibrant, energetic and friendly professional to fill a part-time temp to permanent position. Hours will be from 5:00pm - 9:00pm. The responsibilities of this position are, but not limited to:  - Contacting potential customers who inquire about our services via phone calls and emails. - Getting potential customers to opt-in to hearing about opportunities available in their area. - Email communication within our organization and with potential outside customers. - Maintaining a call schedule and honoring discussion agreements made with customers regarding our services. - Meeting daily and monthly call volume and lead volume goals.  We seek a problem solver who has the initiative to find a solution or at the very least not be afraid to ask questions. Must be able to hit the ground running. This person must be comfortable working on their own with very little supervision.  Because this position entails 90% of your time being spent on the phone, we require a person who truly enjoys being on the phone with a personality that will shine through. We seek a dependable, responsible, punctual and hard working individual who can grow with the company if given the opportunity.  Requirements: -Great telephone personality and voice. -College Degree -Pass a drug screening & background check  Compensation begins at $15/hour."
"940","1-year-experience-needed hourly-wage full-time-job","A national oil and gas company is seeking an organized and self-motivated individual to fill the position of Office Assistant in our Oklahoma City office.    Job Type: Full time.  Must be available weekdays, 8am-5pm.  Job Responsibilities: • Answering multi-phone line system • Greeting and assisting visitors • Distributing express deliveries and fax transmittals • Photocopying • Assist President and Managers as needed • Obtain office equipment maintenance when needed • Vendor Relations  Job Requirements: • High school diploma • Knowledge of computer programs, i.e. Microsoft Office, Outlook • Ability to read and write English • Ability to work with a team • Ability to communicate effectively with management • Excellent written and oral skills • Strong customer service skills • Detail-oriented • Self-starter  Preferred: • 1-2 years of Customer Service in an office setting  Compensation:  • Hourly • Generous benefit package available to full time employees after set waiting period"
"952","full-time-job 2-4-years-experience-needed","South Bend IN. [North Indiana] Stones River Electric is a recognized industry leader in providing electrical, lighting and energy services across the United States.  We are a privately held company headquartered in Nashville, Tennessee with a mission to deliver quality installation and service to our clients by self-performing work at a local level.  More than just an electrical contractor, Stones River Electric is an innovator providing cutting edge lighting and electrical solutions.    We know this success comes from our culture which is built on a team of highly qualified electricians and lighting technicians.  Our employees are treated with the same respect and courtesy that we offer our customers.  At Stones River Electric, we are a team of professionals that people want to be a part of and work with.  Our employees are equipped with the knowledge, training and tools to be well skilled and deliver outstanding customer service.  They are cross-functional, multi-skilled and a self-directed group.  As a growing company, Stones River Electric is searching for permanent employees to be part of this team.  Contact us today, if you have these talents and are interested in knowing more about our open positions.    Service Technician   Job Description:  Responsible for the installation of lamps, ballasts, controls and other lighting components in various types of fixtures both interior and exterior. The ideal candidate will also be able to troubleshoot and repair electrical problems for retail and commercial customers. This person will be required to work indoors on ladders, or lifts as well as outdoors on a bucket truck to a height up to 45’. Applicant must be able to work under general supervision and complete assignments in a responsible and timely manner. Individual must also document work and related activities in a timely and accurate fashion. This position requires a person who can effectively manage his own time and communicate with our customers in an effective manner. Overnight travel may be required on a regular basis.  Please e-mail resume and contact information.  Requirements Qualifications & Physical Requirements:  • Must have a High School Diploma or equivalent • Minimum 2-3 years previous lighting/electrical experience required • Electrical licensing beneficial • Previous experience on a bucket truck is preferred, but not required • Should possess good organizational and communication skills   Vision: must meet motor vehicle license and DOT medical certification requirements Hearing: must be able to pass DOT medical certification requirements Weight: maximum weight of 275 (equipment safety limit)"
"954","2-4-years-experience-needed full-time-job","*About the Job*  Are you a Lead / Senior Systems Engineer with Linux systems engineering experience looking for a rapidly-growing company where you will have the opportunity to architect and maintain a robust distributed systems infrastructure? Are you a Senior Linux Engineer with extensive experience architecting and scaling production web architectures? Are you a Lead DevOps Engineer looking for a great company with a serious future? If so, please read on.  Indatus is a fast-paced, rapidly growing company that specializes in Software as a Service (SaaS), cloud-based applications, and enterprise mobile applications. Amazing opportunities that will engage all combinations of our expertise are stacking up. We are a close-knit team and do our best to create a positive, fun and challenging work environment. In the end, we strive to create the best user experiences possible. We offer good benefits and competitive salaries. You must be willing to relocate to Louisville, Kentucky.  *Your Skills and Expertise*  * 4+ years of relevant work experience * 3+ years of experience administering Debian-based production systems * 1+ years of experience with the Ruby programming language (for scripting and working with Chef) * Experience with automated deployment of modern PHP applications (composer, Laravel, etc.) * Experience working with automated configuration management systems (Chef, Puppet, SaltStack, CFEngine, etc.) * Experience with cloud infrastructure and virtualization * Advanced understanding of Internet-related applications (Web Servers, Proxies, e-mail, FTP, DNS, etc.) * Solid understanding of scripting languages (Bash shell, PERL) * Ability to lift hardware weighing 50 pounds or more * Possess outstanding interpersonal and teamwork skills * A willingness to gain and share knowledge * Experience working with other operating systems (Microsoft Windows, Mac OS) * Basic networking experience including network systems troubleshooting * Database administration experience (MySQL / MariaDB and MongoDB preferred)  *What You’ll Be Doing*  * Architecting, managing and scaling all components of our web architecture * Manage our computer and storage infrastructure on Citrix XenServer * Ensure high availability with adequate monitoring and instrumentation * Maintain and extend operational processes to insure high availability of our entire technology stack – front-end web traffic and back-end database infrastructure * Installation, configuration and administration of software supporting our internal and external web servers and web applications &ndas; Apache, HAProxy, Heartbeat, MariaDB, MongoDB and other * Provide automation and provisioning through the use of Chef * Installation, administration and management of MariaDB / Galera database clusters and replication * Systems and application monitoring * Proactive / preventive systems administration and maintenance * Write amazing documentation * On-call support for production operations  *What You Get*  * Work for a company that is well-funded with no need for VC control * To be in on the ground level of building a DevOps team * Competitive salary + bonus pool * Insurance (Medical, Dental, Vision, Life) plans * If you are a Lead / Senior Systems Engineer or Senior DevOps Engineer with experience architecting and scaling robust distributed systems infrastructures, apply now.  Candidates must be authorized to work for any employer in the US and must currently live in the US, and be available to work onsite in Louisville KY."
"957","bs-degree-needed full-time-job","Technical Support Engineer – Level II Position Type: Full time, Exempt Salary: Commensurate with experience  Description: Join the Scribe Technical Support team working out of our our Netherlands office amongst the close knit EMEA team.  This position is a techical support role supporting Scribe's integration products.  The responsibilities for the position combine software technical support, systems analysis, and consulting focused on helping Scribe's customers and resellers be more successful. The position requires a well-rounded professional with experience in the software industry who is fluent in English and has customer facing skills that can be applied to the broad areas of responsibility.  Technical Support Analyst Level II reports to the Services Director.  Responsibilities: Responsibilities include, but are not limited to:  Resolve 1st and 2nd level technical support cases and per incident paid support cases through analysis and systematic procedures to Scribe’s Resellers and End-users Escalate to and work with Scribe Product Development on challenging issues Contributing to the development of technical resources such as knowledge base articles and technical documentation Designing, developing or duplicating customer’s data migration/integration solutions Clearly documenting problem descriptions, defects, and resolutions in the technical support system Maintaining relationships with OEM partner help desks including training and escalation process Required Skills: Extensive experience with relational databases, SQL queries, and data conversion/integration Experience with Microsoft Dynamics GP, CRM, NAV or AX or other CRM and ERP applications such as Salesforce.com, Saleslogix, or SAP is highly desired DBA background is highly desired Strong oral and written communication skills with a demonstrated ability to speak, write, and communicate in English Well-developed organizational skills, a detail orientation and the ability to work both independently and as part of a team are essential Strong problem-solving skills. Experience with Windows administration and networking Desire to learn new things Positive attitude Education: BA/BS Degree in computer related course of study Computer and software certifications are a plus ITIL or HDI certifications are a plus"
"960","part-time-job","Living Hope Community Church, in Spokane Valley, WA, is looking for a part-time office manager for our church. We are group of Christ-followers who are passionate about showing people in the Valley who Jesus is.   We are currently a smaller congregation who currently have fairly minimal needs in our office, but we do need someone to work one day a week for 4-5 hours to help with general office work (mailing, filing, updating records, communication, weekly bulletins, etc.) and eventually bookkeeping. There is potential for this job to grow into more hours as our church grows.  As we are a Christian church, it is important to us that you also consider yourself to be a follower of Christ. We are not concerned that you attend our church, just that you find yourself connected to some community of believers.   Applicants with backgrounds in bookkeeping are preferred, but a bookkeeping background is not necessary. If you enjoy office work and are task oriented, we are interested in talking to you.   Please submit a resume and short letter of why this position would interest you."
"961","supervising-job hourly-wage full-time-job","Looking for a GREAT place to work? Do you want to enjoy your job everyday? Do you want to work for a GREAT company? If so, then this is the place for you!  Our company was built from the ground up, from the owner's kitchen table to worldwide sales as well as a nomination for Entrepreneur of the Year. This did not happen by accident. We have been successful by building an incredible team that any company would be envious to have! We only want people who play at the top of their game and want to be surrounded by excellence. Our brand is our reputation and we will except nothing less than the best. The best part of the job is the environment and the people with which you work!  If you're ambitious, enthusiastic, motivated, have a passion for excellent customer service, thrive in a team environment, want to have fun at work, love sales and have a track record of results and success, love working with people, then a position at Crazy Scrubs might be just what you are looking for.  FULL TIME STORE MANAGER:  As a store manager, you are the key part in the store's success. You MUST HAVE MANAGEMENT EXPERIENCE TO BE CONSIDERED. You must be excited about meeting your sales goals, building store traffic, converting visitors, interacting with the products, and promoting campaigns and contests. You must have proven leadership skills and have the ability to motivate and turn goals into reality. You must display \grace under pressure\. Your duties will be sales, ordering, merchandising, training and building a team that will make you successful beyond words. Your motto must be having the willingness to go above and beyond.  Your role: - Act as an stellar representative for the company and the brands. - Produce sales results for the company. - Treat customers and co-workers with respect. - Train team on store visuals and displays. - Open availability and flexibility to work. - Thrive on building long-lasting customer relationships. - Coach team members on the ethics, philosophies and best practices of Crazy Scrubs. - Maintain and build contagious energy throughout your entire shift. - Build your team's confidence and work as a group on every shift. - Sales, sales and sales. - Treat customers like gold. - Upkeep the store's visuals and displays with pride. - Naturally approach customers and fluidly determining their needs.  If this describes you, we definitely want to meet you! Our company is the fastest growing health care apparel company in the Rocky Mountain Region. We have been in business for over 20 years.  We are extremely picky about whom we hire and we know the secret to building an incredible team.  We offer to you:  A very fun company environment Medical benefits No nights No holidays Competitive pay Clothing and shoes provided Monthly bonus Happy, positive work environment Monthly sales contests Employee discounts Paid vacation We are closed all major holidays  $20.00 hr plus monthly bonus Please submit a cover letter and a resume. If you are chosen, we will call you for a phone interview."
"963","licence-needed salary full-time-job","A growing and intending to expand to a new location Chiropractic and rehabilitation clinic is searching for a full time, licensed in the state of Illinois, Physical Therapist. The position offered is salary based, to be discussed with potential candidates during an interview process. The responsibility of the new PT will be the oversight of PT patients in the Chicago (northwest side, near Niles) office and later oversight of the PT clinic in its new, proposed, Arlington Heights location.   The right candidate must have a prior experience working in a private PT clinic, or have an extensive knowledge of working in an outpatient clinic. The candidate must be currently licensed and hold own malpractice insurance. A bilingual, Polish-English, candidate will be given priority in employment.   The right candidate will take pleasure in working one-on-one with patients, have an ability to delegate and instruct assistants, have vast skills in proper note-taking and functional assessments, be flexible with time, have an ability to successfully converse with referring providers and case managers, be diligent and honest.    Please forward your resume to the email below. Please include as much information about your clinical experience and skills in order to make the decision-making smoother and quicker."
"964","full-time-job associate-needed salary","Artistic Design Landscapes provides professional design, installation, and maintenance of all phases of landscaping, lighting, pavers, walls, ponds, waterfalls, fountains, and outdoor fireplaces and kitchens. We are currently looking for a Landscape Designer to join our hard-working team. ADL is located in Lenoir, North Carolina. For more information on our company you can visit our website or check us out on Angie’s List. Our website is artisticdesignlandscapes.com. Landscape designer specializes in planning and designing clients needs and wants.  Must have prior formal education in landscape design / architecture or prior experience. Landscape designer should be able to balance different demands and come up with a creative solution. The designer should have great communication skills.  A Landscape Designer’s Duties: • Talking to the clients about the project • Surveying the site  • Using computer-aided design to turn ideas for the project into plans • Estimating the costs of constructing the landscape and maintaining it once it is complete. • Choosing trees, shrubs, and plants that will suit the design and proposed site.  • Writing detailed reports and proposals • Submitting plans and estimates to the client  Education:  • High school education preferred  • Two-year technical college certificate or college education • Training and certification provided by employer, but experience is helpful • Must have prior Management Experience  Pay:  • This is a salary position + commission based on experience • This job comes with some benefits and bonuses ALL RESUMES NEED TO BE POSTED BY TUESDAY MARCH 18, 2014 AND WE WILL CONTACT INDIVIDUALS FOR INTERVIEWS FOR WEDNESDAY MARCH 19-21."
"972","part-time-job hourly-wage supervising-job","$15/hour   Part-time  Weekends (mostly Saturdays) and some weeknights (late afternoon, early evenings).  Open and close as needed; schedule and supervise workers; prep and cleanup; wait on customers; handle cash.  No particular skills or experience required, except basic housekeeping/kitchen skills.  Must be able to be on one's feet for several hours and move light-to-medium boxes around, and must be able to do simple mental arithmetic quickly (adding prices and making change)."
"982","part-time-job hourly-wage","The Cheese Cave is specialty retail shop in Red Bank dedicated to the growing movement of American artisan cheeses.   Our cheesemonger will share the word of curd with the community in a work environment that is fun and social.    Our candidate: * Enjoys talking with people, providing friendly, responsive customer service and convincing people    they need more cheese in their life * Is passionate about food, loves cheese and/or is WILLING TO LEARN * Brings a positive, problem-solving attitude to what they do * Flourishes in a collaborative environment * Is ready to be flexible * Works hard and wants to learn * Really wants to tell friends, “I am a cheesemonger.”   FULL TIME hours, flexible shifts Wages depend on experience  If you want to be a part of an exciting specialty business in Red Bank, New Jersey with a mission to support artisan and local cheese-makers, then send us a resume and a short cover letter telling us why you want this job.  We can’t wait to hear from you."
"987","hourly-wage 2-4-years-experience-needed bs-degree-needed full-time-job","The Scheduler must enjoy solving complex scheduling problems using advanced software designed specifically for the Applied Behavior Analysis (ABA) therapy field. Applicants for this position must be highly computer literate and enjoy learning and using advanced software for up to eight hours a day.  The Scheduler must create the daily therapy schedules for 40+ staff and 40+ children, each of whom will have from 2 - 4 appointments per day. Changes in the schedule occur on a daily basis. The Scheduler must make changes in the schedule on an ongoing basis to accommodate cancellations and changes. The Scheduler is also responsible for assigning rooms for therapy sessions. Weekly, the Scheduler leads a meeting with management on the results of previous week activities and issues/decisions for the upcoming week.  The Scheduler also must be able to work with staff and parents to resolve scheduling issues. A high degree of professionalism is required, along with good communication skills.  A college degree is required. At least two years of experience working with some form of advanced software is also required. Please list the specific software you have utilized in your cover letter or resume.  Work hours for this position will be from 7:30 - 4:00. The Scheduler will need to have the flexibility to arrive at work by 7:00 a.m., if needed, due to the number of schedule changes for the day.  Applicants must have the ability to understand and maximize the use of the features of the software to improve our scheduling process. Applicants must be patient and able to work in a fast-paced environment. They must also enjoy working around children and be professional and personable when dealing with parents and staff.  Steps to Progress LLC provides short term disability and life insurance to employees at no cost. Full time employees are eligible for medical and dental coverage after 60 days of employment and the company pays 75% of the premium for the coverage.  Please submit a cover letter and resume. For more information about Steps to Progress LLC go to www.example.com"
"989","bs-degree-needed 5-plus-years-experience-needed full-time-job","*Position: Fulltime .Net Technical Lead*  _Must have 5+ years of IT experience_  The .Net Technical Lead is responsible for leading the Software Development Life Cycle including analysis, design, and development and testing of Microsoft .Net applications with a MS SQL Server backend. Ability to lead and facilitate meetings with the client, users and the development team is essential. Ability to create high quality technical documentation including architecture, requirements and test documentation is a must. Prior successful experience leading a team of developers in the creation of MS .Net/SQL Server applications is required. Recent hands-on development experience with MS .Net/SQL Server is essential.   *Additional responsibilities include:* • Design and development of new and existing .Net applications, SharePoint 2010/SQL Server 2008 applications • Architecting, designing, developing and implementing complex enterprise software solutions • Coordinating and cooperating with the client, the project manager the program manager  and developers to implement a .Net/SQL Server architecture that utilizes best practices and modernizes existing Access applications • Installing, configuring, testing and implementing .Net or SharePoint Server 2010 and SQL Server 2008 • Use Visual Studio, SharePoint Web Interface, and SharePoint Designer to develop custom solutions with a backend SQL Server 2008 database • Develop and implement master pages, views, forms, templates, external lists, external content types, custom lists, web parts, master pages and other custom components • Design and Develop fully normalized MS SQL Server databases • Migrate data from MS Access Databases to a newly designed and developed MS SQL Server database • Responsible for estimating work content and achieving planned timelines • Responsible for following project management / lifecycle development processes and procedures  *Required skills:* • BS or MS in Computer Science or Related Major • Extensive hands on experience developing .Net or SharePoint and SQL Server applications from the ground up, including experience with .Net or SharePoint 2010 and SQL Server 2008 • Strong understanding of .Net or SharePoint 2010 and SQL Server 2008 structures, theories, principles, and practices • Strong programming skills in website development in a Microsoft environment • Strong understanding of Systems Engineering concepts and practices • Strong understanding of Design Patterns and Object Oriented Programming • Strong hands on experience writing Systems Engineering documentation that meet Federal Government standards and guidelines (Architecture, Requirements, Design, Testing) • Hands on experience building advanced web applications (preferable .NET with C"
"990","2-4-years-experience-needed part-time-job","NOW HIRING: Part Time Sales Associates    Cerulean Blu began in 2012 as the solution to the hazards that typically plague swim and resort wear shopping - unflattering lighting, poor selection and ill-equipped staff. We set out to fix these problems by creating a spa-like atmosphere complete with a spa-like atmosphere, meticulously placed lighting and unparalleled customer service. Cerulean Blu’s flagship store is located at 400 Beach Drive in downtown St. Petersburg.    We are a small, family owned retail business that believes in empowering team members and rewarding innovation and growth. Currently, we are seeking part time sales associates to join our team. The Sales Associate helps customers find the best products and services to suit their individual needs and ensure efficient, courteous handling of customer requests. You'll work closely with the Store Manager and Assistant Manager in the day-to-day operations.    Hours:    The position requires approximately 20 hours per week.  Must be available to work between the hours of 11am-4pm, with earlier or later hours as needed.  Must be available to work weekends. Flexibility is key as weekends are peak retail hours and Jan 15 through July 15 is generally the peak swim season.    Responsibilities:    • Assist the Store Manager and Assistant Manager with the day-to-day operations of Cerulean Blu    • Implement strategies to improve customer service, drive store sales, and increase profitability including, but not limited to, merchandising, promotions and in store events    • Exhibit the highest level of customer service. Ensure customer needs are met, complaints are resolved, and service is quick and efficient, without compromising quality    • Maintain store appearance and product presentation to company standards    • Assist with online sales processing when necessary    • Reports to Store Manager and Assistant Store Manager    Minimum Qualifications:    Requires a high school diploma with 2-4 years of experience in the field or in a related area.  We prefer candidates with experience providing a high level of customer service and/or sales. The candidate must have familiarity with standard concepts, practices, and procedures within the retail field. Also requires sound judgment and experience to plan and accomplish goals."
"992","hourly-wage part-time-job","Bethel Nursing & Rehabilitation Center is looking for a part time receptionist to work weekends and Holidays 7:30am-1pm A qualified candidate must be a reliable, punctual, mature individual w/ a good telephone manner. The Ability to work with the elderly is also a must. Switchboard experience is a plus but not required."
"993","bs-degree-needed full-time-job 5-plus-years-experience-needed","The Tax Senior Manager is primarily responsible for enabling the firm to serve a large number of clients effectively by supporting the Partners, the firm’s philosophy and culture, maintaining and developing expertise in the niche areas we serve, and playing liaison between the partners and clients and professional staff members.  This position requires: *Public Accounting Experience – senior candidates with previous Public Accounting and Managerial Experience are strongly preferred.*  *EDUCATION & EXPERIENCE REQUIREMENT* * Bachelor’s or Master’s Degree from a 4 year accredited college or university * 150 credit hours CPA requirement met * Holds a current and valid CPA Licensed, and is a member in good standing with the American Institute of Certified Public Accountants, the Society of Louisiana Certified Public Accountants, and the State Board of Certified Public Accountants * At least 8 years of related experience and/or training or Equivalent combination of education and experience  *RESPONSIBILITIES* * Maintains ongoing contact with clients throughout the business year, involving a thorough knowledge of the client and all facets of the client’s business. This requires more than just routine attendance to immediate issues. * Represents clients before the IRS. * Follows the progress of the work in relation to budgeted time and scheduled dates of completion and anticipates the problem areas and questions that might arise. * Deals directly with the client’s attorney or brokers, taxing authority agents, and other third parties. * Prepares timely staff performance evaluations and discusses them with the staff members. * Maintains knowledge of general economic and political trends, and other legislation that could affect the business climate. * Actively initiates and participates in the firm marketing activities. * Develops strong relationships with appropriate referral sources and follows up with contracts to develop client prospects or new work. * Consistently achieves realization targets."
"995","full-time-job","This is a 4-6 week assignment to start, and working between 8am to 5pm, Monday – Friday 30 -40 hours a week.   Must have: • 10-Key by Touch 8000 to 9000 Key Strokes  • Typing 70+ WPM • QuickBooks Experience  • Basic Administrative Support Experience • Professional Phone Manner • Attention to Detail (Low Error Rate) • Team Player • Self-Starter and Self Managing • Punctual  Smoke Free & Drug Alcohol Free Environment"
"997","full-time-job hourly-wage","CUSTOMER SERVICE Must have excellent phone & communication skills, data entry, and Excel exp. required. F/T, benefits $9.50/hr. Call  XXX ."
"998","part-time-job","Part time Grocery Stocker needed to work 5pm - 12am on Sundays, Mondays, Wednesdays and Fridays. Duties include, \face\ the store, breakdown truck loads, and stock assigned aisles. Make store look presentable for the next days business."
"1000","full-time-job","Residential Class B Driver  GarbageMan, A Green Company – Sioux Falls, MN GarbageMan, A Green Company is a locally owned garbage company that is operated by R & S Sanitation.  We are currently hiring drivers for residential trash routes in Sioux Falls and surrounding cities in South Dakota.  We are seeking dedicated, dependable and experienced Class B CDL drivers that can help take our service to the next level.  If you thrive in a fast-paced environment and have excellent personnel skills then we invite you to apply to be a part of the GarbageMan/R & S Sanitation Team! About us: GarbageMan, A Green Company is one of the fastest growing waste disposal companies in the United States – 71st overall, according to Inc.'s 2012 500 fastest growing companies. GarbageMan currently provides service to customers across three states.  Please check out our website for more information www.example.com.   Job Description: $250 Sign on Bonus -Perform residential routes Monday-Friday -Hours are 6 AM until your route is done which ranges from 2 pm to 4 pm -Some Saturdays are required (During Holiday weeks and Weather delays) -When residential routes are completed you will be responsible for container deliveries. -Must be able to interact with customers in a friendly manner. Job Requirements: -Minimum Class B CDL required -Some Driving experience required, or formal training. -Must be able to lift 50 lbs. -Clean driving record for the past 3-5 years -Previous garbage route (particularly residential) experience preferred Compensation-based on experience T"
"1003","1-year-experience-needed full-time-job","Job Description  U TRAVEL LIMITED a growing world-class manufacturer of fabricated and insulated wire products, is seeking outstanding employees for the positions of Shipping Clerk and Forklift Operator/ Floater.  The Shipping Clerk will act as a backup for the Shipping Manager with the following responsibilities:       This fast paced position is responsible for checking drivers in and out, preparation of bills of laiding for outbound loads, ensuring all scheduled orders are written up and sent to the floor, using the computer to key out all completed orders and bill of laidings, utilizing spreadsheets for data collection and analysis, filing paperwork, and any other duties applicable to this role.     In addition to administrative functions will be responsible for completing task as a team when necessary utilizing forklift skills to pick and fill orders and load/ unload trucks.   The Forklift Operator will have the following responsibilities:       Capable of working in a very fast paced environment, safely meeting the needs of multiple production lines.     Working as a team to ensure that production lines remain stocked with raw materials and removal of finished goods to our warehouse.     Participate in physical inventories     Job Requirements  Shipping Clerk requirements:      Proficient in Microsoft Word and Excel, along with the logistical processing of customer orders; including coordination with vendors, sales staff, customer service representatives, billing representatives, warehouses and shippers.     The person must have great people skills as you will be responsible for working with dispatchers, truck drivers, warehouse employees and customer service.  Forklift Operator/ Floater Requirements:      1 year minimum previous experience in a predominately forklift and/or picker role (preferrably meeting the demands of a production line)      Team oriented thinking      Self-motivated and dependable      High level of efficiency/ productivity      Twelve hour continuous shift: 10:45p– 1100a (2-2-3 Rotation)  We offer a comprehensive benefit package including: 401K, medical, dental, long term disability and life insurance.  All candidates will be required to complete/ pass a criminal background check and hair sample drug sceen.  If you feel that you meet either of these job qualifications please submit a resume to referencing the position you are applying for in the subject line."
"1006","full-time-job supervising-job 2-4-years-experience-needed","Hand and Stone Massage and Facial Spa provides affordably priced, top quality therapeutic massage, facial and hair removal services at convenient hours 7 days a week. Our Porter Ranch location is recognized for its welcoming atmosphere, professionalism and top-notch therapists. We are bringing it to Thousand Oaks to our second location opening this spring!  We are currently seeking an experienced manager to oversee the day-to-day operations of our new Thousand Oaks spa. This individual will establish and drive programs to achieve high levels of service and customer experience. We are looking for a dynamic individual to motivate staff, train in our selling techniques and service protocols, optimize scheduling and provide hands-on leadership for our new location. He or she must understand the necessity of collaboration, value of the employee, understand our philosophy of honoring both employee and customer and guide the staff to operate with peak efficiency through coordination, communication, cooperation and respect.  Applicants must possess a minimum of 3 years management experience in the Spa/Salon industry or Retail/Fitness/Hospitality industry. Experience with a growth oriented membership-based business model is required. Must be able to train, manage and motivate a staff of at least 35, schedule efficiently, ensure company best practices are employed, help promote the business in the community and help the owner replicate the great company culture and their vision in this new location. Experience with Millennium software a plus. Those with less experience may be considered for sales associate or lead roles. Compensation is a base of $30-$35,000 plus achievable monthly performance bonuses of 50% of base.  We are an equal opportunity employer M/F/V/D. We appreciate your interest, however; only qualified candidates will be contacted."
"1009","supervising-job bs-degree-needed 5-plus-years-experience-needed full-time-job","Veranda is a retirement community that has an unrivaled dedication to providing excellent southern hospitality to our residents and the community.  We are in search of a candidate with a creative eye, exceptional time-management and outstanding communication skills.  The ideal applicant should have a positive demeanor and be an enthusiastic leader with a team-oriented attitude.   Join us and discover a rewarding career as we work to provide an impressive physical and social environment for our residents.  *This position works Thursday through Monday and is a full-time position.*  Responsibilities Include:   Weekend facility oversight Prompt response to resident requests Promotion of property’s services Maintaince of an attractive and functional facility  Requirements Bachelor’s Degree 5 years experience in the hospitality industry  Candidate must possess strong relationship building skills Excellent organizational skills"
"1011","salary full-time-job","We're looking for a web developer to join our team. Our ideal candidate has an eye for UI/UX design, is comfortable developing in an OO PHP 5.4+ framework, and has solid Javascript knowledge, particularly JQuery, Knockout, and other modern plugins and libraries. This is a full time salaried position with an opportunity to earn equity in our growing company. Please include a list of professional references with your resume.  More details and application process at www.example.com"
"1013","full-time-job","Go Rentals is a car rental company that caters to the private jet industry.  We are looking for a Driver for our Denver location.  The following reflects management's definition of the type of person we are looking for:  Minimum of a high school diploma or GED equivalent. College degree preferred. Ability to communicate clearly and concisely Professional appearance - uniforms will be provided Must be a people person Must have guest services skills/background Must have a clean driving record Must be English proficient Must be able to pass TSA background check Must be 21 years or older  This job entails working nights, weekends and long hours. Nine to fivers need not apply.  This job will be full-time and begins immediately.  If this interests you, please go to our website at www.example.com and click on the \Careers\ tab to fill out an application.  Thank you  Go Rentals provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, gender, sexual orientation, gender identity or expression, national origin, age, disability, genetic information, marital status, amnesty, or status as a covered veteran in accordance with applicable federal, state and local laws. Go Rentals complies with applicable federal, state and local laws governing non-discrimination in employment in every location in which the company has facilities. This policy applies to all terms and conditions of employment, including, but not limited to, hiring, placement, promotion, termination, layoff, recall, transfer, leaves of absence, compensation, and training. Go Rentals expressly prohibits any form of unlawful employee harassment including but not limited to those based on race, color, religion, gender, sexual orientation, gender identity or expression, national origin, age, genetic information, disability, or veteran status. Improper interference with the ability of Go Rentals employees to perform their expected job duties is absolutely not tolerated. Go Rentals is an Equal Employment Opportunity Employer and maintains a Drug-Free Workplace. We are wholeheartedly committed to employing a diverse, service dedicated workforce and we maintain an inclusive work environment that embraces everyone's unique contributions."
"1020","full-time-job","Full Time Live-In Nanny   Description: Full time, permanent position available as a live-in nanny. Nanny will be responsible for caring for four children ranging from ages 4 years old to 12 years old. Light house work, cooking and errands will be required. Nanny must have a clear driver's license, clean background and be a non smoker.  Must be able to use stairs and lift 20 lbs. for misc. working activities.  Duties: Must be comfortable caring for four children Daily Cooking, learning dairy free options for an allergy Errands, general running around Light house cleaning such as laundry, dishes Will be preparing children for school each morning, picking up from bus stop May help with homework  Requirements: Will need to take a CPR class that will be paid for Follow instructions well   Welcome! Being a mother can be the most rewarding job there is alive...but doing it alone is difficult at times. I am looking for the right person to become part of my family and help ease the hardship of single parenting. We are a very active, energetic and playful family that is very easy going. This is more than a job...so finding the right person is paramount. And having someone long term that I can count on is absolutely essential.   A separate living space within the residence will be provided and all living expenses are covered. A vehicle will be provided. This position is very dynamic so there will be constant change. A schedule will be provided and time off will be outlined ahead of time and if something changes that will be discussed as needed. For the most part, this is a Monday through Friday position and weekends will be free for personal time. Through the week there is about 30 hours of actual work time. The duties are pretty flexible and the position is fairly laid back. All the children are easy to care for and the youngest is potty trained, so no babies...  What I am looking for is someone who wants to be a member of a family and is looking to serve others with a greater cause. Someone that is not afraid to learn yet is fully competent to teach as well.   Due to the value of this position, a background check and drug test will be required. Someone with high energy and strong sense of family values should submit a resume with a brief reason as to why this position is a good fit.  Spanish and English speaking would be ideal but not required. I am also willing to pay for an immigration visa and travel cost if currently living long distance."
